ext_id,code,reconcile,type,user_type,name,sat_group_,nature,parent
"bamc_0000","0000","False","Vista","account.data_account_type_view","BAMC","l10n_mx.g899","Acreedora",""
"bamc_1000","1000","False","Vista","account.account_type_asset_view1","ACTIVO","l10n_mx.g100","Deudora","bamc_0000"
"bamc_1101","1101","False","Vista","account.account_type_asset_view1","CAJA Y EFECTIVO","l10n_mx.g101","Deudora","bamc_1000"
"bamc_1101001","1101-001","False","Liquidez","account.data_account_type_cash","CAJA Y EFECTIVO.-OFICINA","l10n_mx.g101_01","Deudora","bamc_1101"
"bamc_1101002","1101-002","False","Liquidez","account.data_account_type_cash","CAJA Y EFECTIVO.-POR VENTAS","l10n_mx.g101_01","Deudora","bamc_1101"
"bamc_1102","1102","False","Vista","account.account_type_asset_view1","BANCOS","l10n_mx.g102","Deudora","bamc_1000"
"bamc_1102001","1102-001","False","Vista","account.account_type_asset_view1","BANCOS NACIONALES","l10n_mx.g102_01","Deudora","bamc_1102"
"bamc_11020010001","1102-001-0001","False","Liquidez","account.data_account_type_bank","BANCOS.-Banamex Cta.6051481","l10n_mx.g102_01","Deudora","bamc_1102001"
"bamc_11020010002","1102-001-0002","False","Liquidez","account.data_account_type_bank","BANCOS.-BanRegio Cta.112011450019","l10n_mx.g102_01","Deudora","bamc_1102001"
"bamc_11020010003","1102-001-0003","False","Liquidez","account.data_account_type_bank","BANCOS.-BanRegio Cta.112014550014","l10n_mx.g102_01","Deudora","bamc_1102001"
"bamc_11020010004","1102-001-0004","False","Liquidez","account.data_account_type_bank","BANCOS.-Banregio Cta.112987650012","l10n_mx.g102_01","Deudora","bamc_1102001"
"bamc_11020010005","1102-001-0005","False","Liquidez","account.data_account_type_bank","BANCOS.-Santander Cta.65505052006","l10n_mx.g102_01","Deudora","bamc_1102001"
"bamc_11020010006","1102-001-0006","False","Liquidez","account.data_account_type_bank","BANCOS.-HSBC Cta.4058842691","l10n_mx.g102_01","Deudora","bamc_1102001"
"bamc_11020010007","1102-001-0007","False","Liquidez","account.data_account_type_bank","BANCOS.-Banorte Cta.-0438873931","l10n_mx.g102_01","Deudora","bamc_1102001"
"bamc_1103","1103","False","Vista","account.account_type_asset_view1","INVENTARIOS","l10n_mx.g115","Deudora","bamc_1000"
"bamc_1103001","1103-001","False","Normal","account.data_account_type_asset","INVENTARIOS.-Bodega General","l10n_mx.g115_01","Deudora","bamc_1103"
"bamc_1104","1104","False","Vista","account.account_type_asset_view1","CLIENTES","l10n_mx.g105","Deudora","bamc_1000"
"bamc_1104001","1104-001","True","A cobrar","account.data_account_type_receivable","CLIENTES BAMC.-General","l10n_mx.g105_01","Deudora","bamc_1104"
"bamc_1104002","1104-002","True","A cobrar","account.data_account_type_receivable","CLIENTES BAMC.-Cobranza","l10n_mx.g105_01","Deudora","bamc_1104"
"bamc_1104005","1104-005","True","A cobrar","account.data_account_type_receivable","CLIENTES BAMC.-Inc","l10n_mx.g105_01","Deudora","bamc_1104"
"bamc_1104006","1104-006","True","A cobrar","account.data_account_type_receivable","CLIENTES BAMC.-Empl","l10n_mx.g105_01","Deudora","bamc_1104"
"bamc_1104007","1104-007","True","A cobrar","account.data_account_type_receivable","CLIENTES BAMC.-No Identificados","l10n_mx.g105_01","Deudora","bamc_1104"
"bamc_1105","1105","True","A cobrar","account.data_account_type_receivable","FUNCIONARIOS Y EMPLEADOS","l10n_mx.g107","Deudora","bamc_1000"
"bamc_1106","1106","False","Vista","account.account_type_asset_view1","ANTICIPO A IMPUESTOS","l10n_mx.g121","Deudora","bamc_1000"
"bamc_1106001","1106-001","False","Normal","account.data_account_type_asset","ANTICIPO A IMPUESTOS.-Pagos Provisionales de ISR","l10n_mx.g114_01","Deudora","bamc_1106"
"bamc_1106002","1106-002","False","Normal","account.data_account_type_asset","ANTICIPO A IMPUESTOS.-Subsidio Empleo por Aplicar","l10n_mx.g110_01","Deudora","bamc_1106"
"bamc_1106004","1106-004","False","Normal","account.data_account_type_asset","ANTICIPO A IMPUESTOS.- Impuesto Depositos Efectivo","l10n_mx.g113_05","Deudora","bamc_1106"
"bamc_1106005","1106-005","False","Normal","account.data_account_type_asset","ANTICIPO A IMPUESTOS.-ISR Retenido por Intereses","l10n_mx.g113_08","Deudora","bamc_1106"
"bamc_1106006","1106-006","False","Normal","account.data_account_type_asset","ANTICIPO A IMPUESTOS.-IVA Retenido","l10n_mx.g113_08","Deudora","bamc_1106"
"bamc_1107","1107","False","Vista","account.account_type_asset_view1","IVA ACREDITABLE","l10n_mx.g118","Deudora","bamc_1000"
"bamc_1107001","1107-001","False","Normal","account.data_account_type_asset","IVA ACREDITABLE.-IVA Acreditable Pagado","l10n_mx.g118_01","Deudora","bamc_1107"
"bamc_1107002","1107-002","False","Normal","account.data_account_type_asset","IVA ACREDITABLE.-IVA Acreditable a Favor","l10n_mx.g113_01","Deudora","bamc_1107"
"bamc_1108","1108","False","Vista","account.account_type_asset_view1","IVA POR ACREEDITAR","l10n_mx.g119","Deudora","bamc_1000"
"bamc_1108001","1108-001","False","Normal","account.data_account_type_asset","IVA POR ACREDITAR.-IVA Pendiente de Pago","l10n_mx.g119_01","Deudora","bamc_1108"
"bamc_1109","1109","False","A cobrar","account.data_account_type_receivable","ANTICIPO A PROVEEDORES","l10n_mx.g120_01","Deudora","bamc_1000"
"bamc_1110","1110","True","Vista","account.account_type_asset_view1","GASTOS POR COMPROBAR","l10n_mx.g121","Deudora","bamc_1000"
"bamc_1110001","1110-001","True","A cobrar","account.data_account_type_receivable","GASTOS POR COMPROBAR.-General","l10n_mx.g121_01","Deudora","bamc_1110"
"bamc_1110002","1110-002","True","A cobrar","account.data_account_type_receivable","GASTOS POR COMPROBAR.-Matriz","l10n_mx.g121_01","Deudora","bamc_1110"
"bamc_1111","1111","True","A cobrar","account.data_account_type_receivable","DEUDORES INTERCOMPAÃ‘IAS","l10n_mx.g107","Deudora","bamc_1000"
"bamc_1113","1113","False","Vista","account.account_type_asset_view1","INVERSIONES","l10n_mx.g103","Deudora","bamc_1000"
"bamc_11131","1113-1","False","Normal","account.data_account_type_asset","INVERSIONES.-Banco Nacional de Mexico","l10n_mx.g103_01","Deudora","bamc_1113"
"bamc_1200","1200","False","Vista","account.account_type_asset_view1","ACTIVO FIJO","l10n_mx.g100_02","Deudora","bamc_1000"
"bamc_1201","1201","False","Vista","account.account_type_asset_view1","EQUIPO DE TRANSPORTE","l10n_mx.g154","Deudora","bamc_1200"
"bamc_1201001","1201-001","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Nissan 2004  C-56","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201002","1201-002","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Moto Honda 2013","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201003","1201-003","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-353","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201004","1201-004","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-354","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201005","1201-005","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-355","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201006","1201-006","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-356","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201007","1201-007","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-357","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201008","1201-008","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-358","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201009","1201-009","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-347","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201010","1201-010","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-348","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201011","1201-011","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-349","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201012","1201-012","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-350","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201013","1201-013","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-351","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201014","1201-014","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.Camion Dodge 2010 H-100 M-352","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201015","1201-015","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Honda Accord 2001 A-27","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201016","1201-016","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Freighliner 2011 M-359","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201017","1201-017","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Freighliner 2011 M-361","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201018","1201-018","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Freighliner 2011 M-360","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201019","1201-019","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Tornado 2005 A-52","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201020","1201-020","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Sterling ST360 D06721","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201021","1201-021","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Sterling ST360 38 D05555","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201024","1201-024","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Camion Dodge 2008 s:8u352423","l10n_mx.g154_01","Deudora","bamc_1201"
"bamc_1201025","1201-025","False","Normal","account.data_account_type_asset","EQUIPO DE TRANSPORTE.-Isuzu Elf300 #793983","l10n_mx.g154_01","Deudora","bamc_1201"
