"id","name","code","close_method"
"account.account_type_asset_view1","Vista de activo","asset","None"
"account.data_account_type_asset","Activo","asset","Balance"
"account.data_account_type_bank","Banco","bank","Balance"
"account.data_account_type_cash","Efectivo","cash","Balance"
"account.conf_account_type_chk","Cheque","check","Balance"
"l10n_mx.account_type_equity","Capital","equity","Balance"
"account.conf_account_type_equity","Capital","equity","Balance"
"account.data_account_type_expense","Gasto","expense","None"
"l10n_mx.account_type_expense","Gasto","expense","None"
"account.account_type_expense_view1","Vista de gastos","expense","None"
"account.data_account_type_income","Ingreso","income","None"
"account.account_type_liability_view1","Vista de pasivos","liability","None"
"account.data_account_type_liability","Pasivo","liability","Balance"
"l10n_mx.account_type_tax","other","other","Unreconciled"
"l10n_mx.account_type_other","other","other","Balance"
"l10n_mx.account_type_asset","other","other","Balance"
"l10n_mx.account_type_income","other","other","None"
"l10n_mx.account_type_cash","other","other","Balance"
"account.data_account_type_payable","A pagar","payable","Unreconciled"
"l10n_mx.account_type_payable","A pagar","payable","Unreconciled"
"account.data_account_type_receivable","A cobrar","receivable","Unreconciled"
"l10n_mx.account_type_receivable","A cobrar","receivable","Unreconciled"
"account.conf_account_type_tax","Impuesto","tax","Unreconciled"
"l10n_mx.account_type_view","View","view","None"
"account.data_account_type_view","Raiz/vista","view","None"
"account.account_type_income_view1","Vista de ingresos","view","None"
