"id","code","reconcile","type","user_type/id","name","sat_group_id/id","nature","parent_id/id"
"__export__.account_account_1","0","False","View","l10n_mx.account_type_view","ONE","","",""
"__export__.account_account_2","1","False","View","l10n_mx.account_type_view","ACTIVO","l10n_mx.g100","Deudora","__export__.account_account_1"
"__export__.account_account_10","11","False","View","l10n_mx.account_type_view","ACTIVO CIRCULANTE","l10n_mx.g100_01","Deudora","__export__.account_account_2"
"__export__.account_account_26","111","False","View","l10n_mx.account_type_view","EFECTIVO Y EQUIVALENTES EFECTIVO (NIF C-1)","l10n_mx.g101","Deudora","__export__.account_account_10"
"__export__.account_account_65","1111","False","View","l10n_mx.account_type_view","CAJAS","l10n_mx.g101","Deudora","__export__.account_account_26"
"__export__.account_account_131","1111001000","False","Liquidity","account.data_account_type_cash","CAJA CHICA","l10n_mx.g101_01","Deudora","__export__.account_account_65"
"__export__.account_account_66","1113","False","View","l10n_mx.account_type_view","BANCOS E INSTITUCIONES FINANCIERAS","l10n_mx.g102","Deudora","__export__.account_account_26"
"__export__.account_account_134","1113001000","True","Liquidity","account.data_account_type_bank","BANAMEX MXN 7705347","l10n_mx.g102_01","Deudora","__export__.account_account_66"
"__export__.account_account_135","1113002000","True","Liquidity","account.data_account_type_bank","BANAMEX MXN 7742416","l10n_mx.g102_01","Deudora","__export__.account_account_66"
"__export__.account_account_67","1114","False","View","l10n_mx.account_type_view","BANCOS MONEDA EXTRANJERA (USD)","l10n_mx.g102_02","Deudora","__export__.account_account_26"
"__export__.account_account_406","1114001000","True","Liquidity","account.data_account_type_bank","BANAMEX USD 9197403","l10n_mx.g102_02","Deudora","__export__.account_account_67"
"__export__.account_account_68","1115","False","View","l10n_mx.account_type_view","INVERSIONES A CORTO PLAZO","l10n_mx.g103","Deudora","__export__.account_account_26"
"__export__.account_account_137","1115001000","True","Liquidity","account.data_account_type_bank","BANAMEX EMPRESARIAL","l10n_mx.g103_01","Deudora","__export__.account_account_68"
"__export__.account_account_27","112","False","View","l10n_mx.account_type_view","CUENTAS POR COBRAR (NIF C-3)","l10n_mx.g106","Deudora","__export__.account_account_10"
"__export__.account_account_69","1121","False","View","l10n_mx.account_type_view","DOCUMENTOS POR COBRAR","l10n_mx.g106","Deudora","__export__.account_account_27"
"__export__.account_account_141","1121001000","True","Receivable","account.data_account_type_receivable","DOCUMENTOS POR COBRAR","l10n_mx.g106_01","Deudora","__export__.account_account_69"
"__export__.account_account_70","1122","False","View","l10n_mx.account_type_view","CUENTAS POR COBRAR NACIONALES","l10n_mx.g106","Deudora","__export__.account_account_27"
