"id","code","reconcile","type","user_type/id","name","sat_group_id/id","nature","parent_id/id"
"__export__.account_account_406","0","False","View","l10n_mx.account_type_view","01-CULIACAN","","",""
"__export__.account_account_407","1","False","View","l10n_mx.account_type_view","ACTIVO","l10n_mx.g100","","__export__.account_account_406"
"__export__.account_account_415","11","False","View","l10n_mx.account_type_view","ACTIVO A CORTO PLAZO","l10n_mx.g100_01","","__export__.account_account_407"
"__export__.account_account_470","1111","False","View","l10n_mx.account_type_view","CAJA Y EFECTIVO","l10n_mx.g1","","__export__.account_account_415"
"__export__.account_account_14543","111101","False","View","account.data_account_type_bank","Fondo fijo de caja","l10n_mx.g101_01","","__export__.account_account_470"
"__export__.account_account_14545","111101011","False","Regular","l10n_mx.account_type_income","Gonzalo Carrillo Coronel","l10n_mx.g101_01","","__export__.account_account_14543"
"__export__.account_account_14544","111102","False","Regular","account.data_account_type_bank","Caja general","l10n_mx.g101_01","","__export__.account_account_470"
"__export__.account_account_471","1113","False","View","l10n_mx.account_type_view","BANCOS","","","__export__.account_account_415"
"__export__.account_account_14475","11131","False","View","account.data_account_type_bank","Bancos nacionales","l10n_mx.g2_1","","__export__.account_account_471"
"__export__.account_account_14629","1113101","False","View","account.data_account_type_bank","BBVA Bancomer","l10n_mx.g1","","__export__.account_account_14475"
"__export__.account_account_539","1113101001","False","Liquidity","l10n_mx.account_type_cash","Concentradora Cta. 451989448 BBVA Bancomer","","","__export__.account_account_14629"
"__export__.account_account_14630","1113102","False","View","account.data_account_type_bank","Banamex  S.A.","l10n_mx.g2_1","","__export__.account_account_14475"
"__export__.account_account_14478","11132","False","View","account.account_type_asset_view1","Bancos extranjeros","l10n_mx.g2_2","","__export__.account_account_471"
"__export__.account_account_540","1113201000","False","Liquidity","l10n_mx.account_type_cash","Banco XXX","","","__export__.account_account_14478"
"__export__.account_account_473","1115","False","View","l10n_mx.account_type_view","INVERSIONES","l10n_mx.g3","","__export__.account_account_415"
